OBJECTID,STATUT,MODE_POSE,AUT_PASSAG,AUT_PASS_1,NATURE_CON,TYPE_LONGU,LONGUEUR,NOTE,COMPOSITIO,ID_PROPRIE,INDEX_DOC_,ENABLED,ORIGINE,LABEL_CABL,NB_CABLE,ORANGE,CLASSE,LARGEUR,HAUTEUR,EXPLOITATI,MAINTENANC,GESTION,CONVENTION,REF_CONVEN,MODIF_DATE,MODIF_AUTE,MODIF_ETUD,METRIC,IS_ANTENNA,RECALAGE_D,SHAPE_LEN,latitude,longitude
3180967,E,2,0,,N,D,8.69,02A9615C35E590871C22F58FBE6501AE,,1,0,1,1,,0,1,,0,0,0,0,0,0,,,,,0,0,,8.68618977988,50.76609618984319,2.7156906700856136
3181678,E,7,0,,A,D,2.36,02A9615D5DB8D1BB1C22F5D67D68F6A8,2 Ø45,1,0,1,1,,0,1,B,0,0,0,0,0,0,,,,,0,0,,2.35653608577,50.765265439991175,2.7252577198371752
3948645,E,7,0,,A,D,61.11,,3Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,61.106176005,50.76796292903358,2.7186271375885767
4196822,E,7,0,,A,D,24.53,,PEHD:1Ø40,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,24.5340827121,50.7656609945417,2.70876037887413
4986876,E,7,0,,A,D,45.04,,1Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,45.0277288624,50.78021933226435,2.729517551666634
5025755,E,7,0,,A,D,3.94,,2Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,3.93957250972,50.7590925037024,2.724934413962284
5025758,E,7,0,,N,D,6.28,P/59535,2Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,2021-04-08,WZQS5758NP,,0,0,,6.27748098326,50.75732636958182,2.72920161575061
5025759,E,4,0,,N,D,17.74,P/59535,,1,0,1,0,,1,1,B,0,0,0,0,0,0,,2021-04-08,WZQS5758NP,,0,0,,17.721053192,50.75743462787899,2.7292280412008396
5042300,E,4,0,,N,D,2.21,P/59535,,1,0,1,0,,1,1,B,0,0,0,0,0,0,,2021-04-06,WZQS5758NP,,0,0,,2.20359509247,50.780399967531636,2.713849905995973
5042304,E,7,0,,A,D,37.47,,2Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,37.4582031285,50.77830484591032,2.7177555762410917
5042575,E,7,0,,A,D,14.96,,1Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,14.9577098959,50.780052269938004,2.7208479682371016
5043272,E,7,0,,A,D,16.62,P/59535,1Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,2021-04-06,WZQS5758NP,,0,0,,16.6156469596,50.776327273629455,2.7150477097436667
