image_id,latitude_SIG,longitude_SIG,pano_lat,pano_lon,distance_m,bearing_deg,pitch_deg,fov,date,pano_id
1,45.81706091451006,4.896051359014594,45.81708328826632,4.896164660404303,9.13,254.18,-15.32,45,2023-05,AOexSURjqEPcWmcE7plPiQ
3,45.76103061502748,4.828406507417747,45.76111575710989,4.828473378266502,10.8,208.72,-13.04,35,2016-12,CAoSFkNJSE0wb2dLRUlDQWdJRDRzWmpYSFE.
4,45.76083360245256,4.82834422124628,45.76080449968422,4.828484612004143,11.36,286.55,-12.41,35,2024-10,4s1A-ZwYcVl52y-ubYz_sg
7,45.76135424299866,4.828175586849058,45.76132595131319,4.828093788842176,7.08,63.63,-19.44,45,2020-07,KLLPFi8nwoLZsIx14auLVA
10,45.76129125389328,4.8284865325641055,45.76136873460119,4.828470954779546,8.7,172.02,-16.03,45,2023-03,CvQFS8y3XH8faEkhWvNrSQ
11,45.76108295709231,4.82841463161397,45.76105975663991,4.828570638272084,12.37,282.03,-11.42,35,2024-10,O84xwMuhEMuJvjkUcIzwXw
14,45.76120540440856,4.828456549809719,45.76117645751479,4.828608121988561,12.19,285.31,-11.59,35,2024-10,AauK_qK75czTVjhliXBIDA
16,45.76096293093511,4.8283845473035045,45.7609742093554,4.828542021101909,12.28,264.14,-11.51,35,2024-10,uGwWXQCC_d4pJF5HXi7XyQ
19,45.76223036829436,4.828703096863278,45.76220151000299,4.828831541754283,10.47,287.85,-13.43,35,2024-10,GtEVvOTM56T_cop0ANhCxg
20,45.76103888333736,4.828409026838343,45.7609742093554,4.828542021101909,12.58,304.88,-11.24,35,2024-10,uGwWXQCC_d4pJF5HXi7XyQ
22,45.808109612386126,4.779743010263058,45.80816669597202,4.779807012279726,8.06,218.01,-17.24,45,2024-03,Yy68Gs5ay9LDX9XbQMLn0Q
24,45.8166219876045,4.888412482334011,45.81651919468228,4.888486447895249,12.79,333.37,-11.06,35,2024-05,OfSGtJFx-mNzgTUxRYHIuA
25,45.81659715979124,4.8885040861600855,45.81657471343362,4.888589864569329,7.1,290.58,-19.4,45,2024-05,5i8Ma4-bcc690I674JylLA
