OBJECTID,STATUT,IMPLANT,NATURE_CHA,REF_CHAMBR,REF_NOTE,CODE_COM,CODE_VOIE,NUM_VOIE,ID_PROPRIE,ACC_DEPORT,VENTIL,PLAFON,ID_GESTION,TYPE_TRAPP,QUANTIFICA,INDEX_DOC_,ID_NOEUD,ROTATION,CODE_CH1,CODE_CH2,NOTE,SECURISEE,ATTENTE,CLE_MKT1,CLE_MKT2,CODE_CH1_C,CODE_CH2_P,ORANGE,CLASSE,EXPLOITATI,MAINTENANC,GESTION,CONVENTION,REF_CONVEN,MODIF_DATE,MODIF_AUTE,MODIF_ETUD,COMPOSITE,DATE_SECU,FABRICANT,METRIC,FAR_NETWRK,RECALAGE_D,geometry,latitude,longitude
1064426,E,T,R,L1T,,62289,,,1,0,0,0,0,,,0,4697399,323.1,86,62289,02A9025A1D8129EA1C259BC1E21B580C,0,,||,538|,538,62289,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.758488221098668 50.45712273511192),50.45712273511192,1.758488221098668
1064444,E,T,R,A3,,62588,,,1,0,0,0,0,,,0,4560578,59.3,17,62588,02A9025A6232840A1C259BC29C1B6A38,0,,||,163|,163,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.7589753854803074 50.45827671675863),50.45827671675863,1.7589753854803074
1064445,E,T,R,A3,,62588,,,1,0,0,0,0,,,0,4626723,69.2,18,62588,02A9025A6981B9431C259BC2A51B6B4B,0,,||,162|,162,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.7593138749902846 50.45877254103431),50.45877254103431,1.7593138749902846
1064463,E,T,R,A3,,62588,0180,,1,0,0,0,0,,,0,4643624,326.8,32,62588,02A9027103834D931C259BCB3F1C2C9C,0,,62588|0180|,129|,129,,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.7625999978178286 50.46328537610999),50.46328537610999,1.7625999978178286
1064465,E,C,R,D2,,62588,0700,,1,0,0,1,0,,,0,4642414,325.4,34,62588,02A90271261B8BF11C259BCBD31C390C,0,,62588|0700|,34|62588,4,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.7630960496328834 50.4647848364512),50.4647848364512,1.7630960496328834
1064478,E,C,R,D2,,62588,,,1,0,0,1,0,,,0,4608492,31.0,47,62588,02A90270716500B31C259BCD631C5853,0,,62588||,47|62588,23,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.7612066228657748 50.46437092705982),50.46437092705982,1.7612066228657748
1064483,E,C,R,D2,,62588,,,1,0,0,1,0,,,0,4645590,64.9,52,62588,02A902705C5BAFF01C259BCD941C5D15,0,,62588||,52|62588,13,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.7616826145884323 50.463558803608485),50.463558803608485,1.7616826145884323
1064484,E,C,R,D2,,62588,,,1,0,0,1,0,,,0,4585610,32.5,53,62588,02A902710B9B970B1C259BCD9F1C5E36,0,,||,9|,9,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.7626955397365607 50.46416637536719),50.46416637536719,1.7626955397365607
1064487,E,C,R,D2,,62588,,,1,0,0,1,0,,,0,4656048,280.9,56,62588,02A9027050536AE21C259BCDBB1C61D7,0,,62588||,56|62588,15,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.7608670844507934 50.46267948568058),50.46267948568058,1.7608670844507934
1064512,E,T,R,L3T,,62588,0140,,1,0,0,0,0,,,0,4711694,30.5,80,62588,02A90270C8761D131C259BD2C61CCD28,0,,62588|0140|,0621|,0621,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.7592397479199497 50.4668685288473),50.4668685288473,1.7592397479199497
1064513,E,T,R,L0T,,62588,0140,,1,0,0,0,0,,,0,4686244,94.5,81,62588,02A90270C294EE931C259BD2DB1CCF10,0,,62588|0140|,|,,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.759039702695595 50.46655728169282),50.46655728169282,1.759039702695595
1064514,E,T,R,L0T,,62588,0140,,1,0,0,0,0,,,0,4554641,96.1,82,62588,02A90270C2F31A191C259BD2E51CD05D,0,,62588|0140|,|,,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.7592093725000937 50.466665449361805),50.466665449361805,1.7592093725000937
1064982,E,T,R,A4,,62588,,,1,0,0,0,0,,,0,4630692,333.3,89,62588,02A902711EB06E4A1C259C39A222D1C1,0,,62588||,89|62588,115,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.764721156757639 50.46418485406962),50.46418485406962,1.764721156757639
1064984,E,T,R,L2T,,62588,,,1,0,0,0,0,,,0,4689160,58.8,91,62588,02A902711EF6C4141C259C39B722D3E9,0,,62588||,91|62588,360,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.7649571893524683 50.46422707818327),50.46422707818327,1.7649571893524683
1064986,E,T,R,A4,,62588,,,1,0,0,0,0,,,0,4603932,71.8,93,62588,ENV-62588-D,0,,62588||,93|62588,121,62588,1,B,0,0,0,0,,2015-05-12,pwnext475,,0,,,0,0,,POINT (1.7664905860134246 50.46431038783744),50.46431038783744,1.7664905860134246
1064991,E,T,R,L6T,,62588,,,1,0,0,0,0,,,0,4581029,332.9,98,62588,02A902741F51B4AD1C259C39FD22DA97,0,,62588||,98|62588,330,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.7719232647084577 50.46389930110607),50.46389930110607,1.7719232647084577
1064995,E,T,R,A4,,62588,,,1,0,0,0,0,,,0,4671951,49.9,102,62588,02A90271483566E21C259C3A2722DEA4,0,,62588||,102|62588,116,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.76561952794388 50.46357214153006),50.46357214153006,1.76561952794388
1064999,E,T,R,L3T,,62588,,,1,0,0,0,0,,,0,4647798,328.1,106,62588,Livraison plaque et tampon L3T le 16/08/22,0,,,,126,62588,1,B,0,0,0,0,,2022-08-16,FIAH7505,,0,,,0,0,,POINT (1.7639019685942083 50.462878522758224),50.462878522758224,1.7639019685942083
1065005,E,T,R,L5T,,62588,1460,,1,0,0,0,0,,,0,4640714,6.8,112,62588,02A90271C2CC1F6B1C259C492E23EEFE,0,,62588|1460|,593|,593,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.765691603677182 50.46658917647235),50.46658917647235,1.765691603677182
1065008,E,T,R,L2T,,62588,,,1,0,0,0,0,,,0,4637341,349.6,115,62588,02A90274A6841DF21C259C49A923F772,0,,||,598|,598,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.769583295339896 50.46817533599007),50.46817533599007,1.769583295339896
1065085,E,T,R,A3,,62588,,,1,0,0,0,0,,,0,4544248,56.5,192,62588,ENV-62588-D,0,,62588||,192|62588,30,62588,1,B,0,0,0,0,,2015-05-05,pwnext475,,0,,,0,0,,POINT (1.769556772587318 50.469411300142006),50.469411300142006,1.769556772587318
1065106,E,T,R,B2,,62588,,,1,0,0,0,0,,,0,4679631,321.9,213,62588,02A90271C482DAB31C259C4E53246706,0,,62588||,213|62588,271,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.7662442758898527 50.46613198168404),50.46613198168404,1.7662442758898527
1499389,E,T,R,REG,,62588,,,1,0,0,0,0,T,,0,7114861,341.5,239,62588,,0,,62588||,|,,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.7587362910686677 50.45816972845724),50.45816972845724,1.7587362910686677
1499640,E,T,R,REG,,62588,,,1,0,0,0,0,T,,0,7114800,337.2,243,62588,,0,,62588||,|,,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.7593263655368265 50.458717483736415),50.458717483736415,1.7593263655368265
1499642,E,T,R,L1T,,62588,,,1,0,0,0,0,T,,0,7114850,72.8,245,62588,,0,,62588||,AAAA4|62588,AAAA4,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.7591760553662408 50.45879891017242),50.45879891017242,1.7591760553662408
